customer_id,first_name,last_name,gender,date_of_birth,join_date,income,city,province,total_loan_amount,average_loan_to_income_ratio
26,Brandy,Lee,Female,1966-10-19,2021-05-05,111916.83,Gatineau,Quebec,,
27,Michael,Blevins,Male,1992-07-07,2022-07-04,123445.49,Halifax,Nova Scotia,,
28,April,Williamson,Female,1984-01-31,2021-05-24,23787.79,Regina,Saskatchewan,,
29,Michelle,Miller,Female,1949-12-08,2024-06-20,24294.05,Corner Brook,Newfoundland and Labrador,18760.56,0.7722285909512824
30,Jamie,Payne,Female,1992-07-28,2022-03-25,65287.71,Kelowna,British Columbia,220248.1,3.373500157992982
31,Allen,Morris,Male,1981-07-05,2015-12-01,113303.33,Surrey,British Columbia,312743.66000000003,1.380116806805237
32,Paul,Rogers,Male,1973-01-22,2015-10-04,116734.82,Hamilton,Ontario,,
33,Margaret,Booker,Female,1977-11-14,2016-06-12,38998.1,Brandon,Manitoba,13189.93,0.33821981070872686
34,Michelle,Shelton,Female,1974-09-04,2019-05-09,36441.09,Prince Albert,Saskatchewan,,
35,Patrick,Summers,Male,1992-01-22,2016-04-29,101850.29,Summerside,Prince Edward Island,,
36,Norma,Hughes,Female,1970-03-10,2017-11-03,28067.25,Kelowna,British Columbia,,
37,Thomas,Barton,Male,1969-03-03,2021-12-22,65440.16,Saint John,New Brunswick,,
38,Isabella,Nichols,Female,1972-05-03,2024-02-25,122844.19,Ottawa,Ontario,444879.47,1.8107468900238586
39,Barbara,Jackson,Female,1989-06-16,2021-12-04,133281.31,St. John's,Newfoundland and Labrador,,
40,Jessica,Figueroa,Female,1980-04-19,2015-09-15,85015.93,Corner Brook,Newfoundland and Labrador,,
41,Gregory,Pitts,Male,1999-09-21,2023-01-11,136146.36,Saskatoon,Saskatchewan,,
42,Elizabeth,Moody,Female,1951-04-12,2018-01-19,140876.07,Edmonton,Alberta,360656.78,2.5600996677434287
43,Kelly,Savage,Female,1984-05-19,2024-10-27,54391.32,Toronto,Ontario,266868.51,4.906454007735058
44,Chad,Porter,Male,1986-06-22,2021-08-18,85667.03,Ottawa,Ontario,,
45,Courtney,Hudson,Female,1955-09-03,2019-12-23,93401.18,Laval,Quebec,21029.21,0.11257464841450612
46,Timothy,Sanchez,Male,1971-04-09,2019-11-08,64348.75,St. John's,Newfoundland and Labrador,419909.83,3.2627660210959806
47,James,Mays,Male,1954-10-28,2018-09-15,122190.41,Saint John,New Brunswick,34658.86,0.14182315944434593
48,Kathy,Chang,Female,1950-07-10,2018-08-28,121004.08,Steinbach,Manitoba,11281.44,0.09323189763518717
49,Debra,Hall,Female,1990-03-11,2020-09-29,64267.83,Edmonton,Alberta,,
50,Bradley,Spencer,Male,1958-06-09,2024-06-10,136774.87,Summerside,Prince Edward Island,,
51,Brandy,Winters,Female,1982-11-08,2022-02-17,110451.68,Montreal,Quebec,34724.39,0.3143853493219841
52,Paula,Scott,Female,2006-01-09,2025-03-09,132014.12,Prince Albert,Saskatchewan,,
53,Sharon,Peterson,Female,1964-08-10,2023-11-18,61015.86,Lethbridge,Alberta,431951.66000000003,3.539667063612641
54,Tammy,Lynch,Female,1949-10-05,2023-10-07,125489.86,Edmonton,Alberta,,
55,Gwendolyn,Richards,Female,1996-05-24,2016-03-30,147039.96,Hamilton,Ontario,24963.02,0.1697703127775606
56,Heather,Murray,Female,1994-11-16,2022-07-06,85061.72,Kelowna,British Columbia,,
57,Emily,Robinson,Female,1979-11-30,2021-03-10,28990.7,Winnipeg,Manitoba,5107.47,0.1761761530421825
58,Robin,Lee,Female,1961-08-25,2021-11-09,85367.85,Summerside,Prince Edward Island,329561.44,1.9302432941675352
59,William,Brown,Male,1977-07-30,2021-09-27,142748.74,Hamilton,Ontario,,
60,Kathryn,Calderon,Female,1961-04-03,2024-11-11,33970.57,Summerside,Prince Edward Island,19058.62,0.5610332708576865
61,James,Jones,Male,1969-06-28,2017-06-08,104088.66,Brandon,Manitoba,82816.68,0.39781797556045007
62,Susan,Shaw,Female,1990-07-22,2020-11-01,52293.73,Fredericton,New Brunswick,,
63,Amy,James,Female,1989-03-25,2021-12-17,63833.18,Ottawa,Ontario,386391.23,3.026570429359778
64,Edwin,Owens,Male,2001-06-14,2020-11-16,22588.59,Fredericton,New Brunswick,17379.17,0.38468912844936315
65,David,Griffin,Male,2006-07-29,2022-10-29,82051.83,Hamilton,Ontario,314689.68000000005,1.91762743134431
66,Justin,Cooper,Male,1996-05-04,2023-02-07,62359.33,Saskatoon,Saskatchewan,,
67,Jonathan,Whitehead,Male,1968-01-26,2021-02-02,80242.82,Summerside,Prince Edward Island,61853.39,0.3854138600811885
68,Troy,White,Male,1950-09-16,2022-08-21,61681.04,Halifax,Nova Scotia,7477.49,0.12122833856238481
69,Matthew,Gross,Male,1981-11-01,2024-06-16,133306.33,Winnipeg,Manitoba,20232.17,0.07588600631342864
70,Amanda,Bolton,Female,1958-12-27,2020-11-23,66491.34,Toronto,Ontario,9669.78,0.1454291641588213
71,Sheila,Snow,Female,1964-05-20,2015-11-25,107590.08,Calgary,Alberta,,
72,Julie,Lam,Female,1990-04-12,2020-04-06,88220.39,St. John's,Newfoundland and Labrador,,
73,Michele,Santana,Female,1950-04-21,2020-10-22,84979.03,Moncton,New Brunswick,,
74,Monica,Perez,Female,1953-08-13,2019-08-31,88615.36,Gatineau,Quebec,476645.73,5.378816155573932
75,Dominique,Cowan,Female,1973-09-09,2022-08-01,124958.69,St. John's,Newfoundland and Labrador,,
76,Amanda,Smith,Female,1995-03-16,2018-02-26,72833.68,Moncton,New Brunswick,491057.13,6.7421710670118555
77,Craig,Adams,Male,1960-08-24,2024-05-22,94100.99,Dartmouth,Nova Scotia,450376.65,4.786098956025861
78,Sara,Turner,Female,1981-02-28,2019-03-02,40000.21,Victoria,British Columbia,,
79,Douglas,Davis,Male,1979-06-25,2024-08-16,147002.73,Ottawa,Ontario,,
80,Justin,Aguirre,Male,1984-10-15,2016-07-04,29547.19,Toronto,Ontario,,
81,Madison,Long,Female,2003-08-23,2022-12-26,105307.75,St. John's,Newfoundland and Labrador,228950.72,1.0870554161493338
82,Brian,Hudson,Male,2001-03-10,2022-10-09,140207.38,Lethbridge,Alberta,,
83,Kelly,Moore,Female,1958-07-06,2018-08-30,140531.84,Winnipeg,Manitoba,,
84,Tara,Davila,Female,1951-11-29,2019-07-07,107223.48,Saskatoon,Saskatchewan,,
85,Thomas,Jones,Male,1951-02-11,2015-07-17,117326.26,Kelowna,British Columbia,248230.43,2.115727800408877
86,Jason,Morris,Male,1951-05-24,2016-01-24,73857.49,Corner Brook,Newfoundland and Labrador,,
87,Tammy,Wright,Female,1979-01-01,2020-04-23,92863.11,Halifax,Nova Scotia,365903.62,1.9701236583612158
88,Tammy,Torres,Female,1968-07-31,2020-11-17,132897.26,Winnipeg,Manitoba,,
89,Christy,Johnson,Female,1973-12-15,2017-12-14,115058.71,Quebec City,Quebec,422841.09,1.8375014373097005
90,John,Perry,Male,1984-02-05,2022-09-30,79813.57,Prince Albert,Saskatchewan,371278.48,4.651821488501265
91,James,Lopez,Male,1954-08-07,2023-10-22,77854.07,Regina,Saskatchewan,7367.91,0.09463744156214311
92,Sheena,Mitchell,Female,1981-09-21,2017-03-03,47738.55,Toronto,Ontario,,
93,Cameron,Stevens,Male,1973-05-14,2024-09-27,97067.01,Prince Albert,Saskatchewan,8345.68,0.08597854204018442
94,Lucas,Wallace,Male,1973-05-18,2020-04-07,121466.35,Lethbridge,Alberta,,
95,Jack,Myers,Male,1952-07-27,2017-02-24,74442.66,Moncton,New Brunswick,7069.73,0.09496879880434148
96,Jordan,Mcclure,Male,1955-10-23,2020-11-17,41133.58,Laval,Quebec,,
97,Noah,Deleon,Male,1963-05-15,2021-11-21,32767.48,Lethbridge,Alberta,,
98,Catherine,Martinez,Female,1981-09-09,2017-09-29,141804.8,Halifax,Nova Scotia,,
99,Samuel,Smith,Male,2003-01-13,2016-10-27,39720.67,Fredericton,New Brunswick,,
100,Gary,Garcia,Male,1964-04-06,2023-02-20,37462.87,Mississauga,Ontario,11321.11,0.3021954804850776
